symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM6,-2,0,0.25,537862110007,537862110018,5,28531.75,28491.75,$(400.00),06/10/2026 16:00:05,06/10/2026 16:00:29,24sec
MNQM6,-2,0,0.25,537862110155,537862110184,5,29262.00,29382.00,"$1,200.00",06/12/2026 09:45:49,06/12/2026 09:57:07,11min 18sec
